msa,violentcrime,murder,rape,robbery,aggravatedassault,propertycrime,burglary,theft,motorvehicletheft,state,city
"Atlantic City-Hammonton, NJ M.S.A.2",414.0,6.9,21.1,187.0,199.0,2817.3,525.0,2210.1,82.2,NJ,West Atlantic City
"Austin-Round Rock, TX M.S.A.2",287.7,2.2,44.9,61.2,179.4,2672.8,415.7,2096.8,160.2,TX,Austin
"Bakersfield, CA M.S.A.",556.3,7.3,32.2,130.2,386.6,3439.3,954.3,1881.1,603.9,CA,Bakersfield
"Baltimore-Columbia-Towson, MD M.S.A.",624.7,13.1,29.8,239.0,342.8,2625.0,517.6,1823.0,284.4,MD,Baltimore
"Bangor, ME M.S.A.",67.3,2.0,9.1,17.6,38.5,1984.5,337.0,1604.4,43.1,ME,Bangor
"Barnstable Town, MA M.S.A.",518.7,1.4,49.4,28.9,439.1,1722.5,475.9,1170.7,75.9,MA,
"Baton Rouge, LA M.S.A.",478.9,11.1,33.9,140.9,293.1,3499.4,780.0,2586.6,132.8,LA,Baton Rouge
"Battle Creek, MI M.S.A.",559.3,3.0,104.0,60.9,391.4,2838.6,744.2,2000.8,93.6,MI,Battle Creek
"Bay City, MI M.S.A.",283.4,0.0,80.3,36.8,166.3,2100.4,497.0,1520.2,83.1,MI,Bay City
"Beaumont-Port Arthur, TX M.S.A.",522.2,6.9,42.5,121.0,351.8,2818.0,783.5,1865.8,168.7,TX,Beaumont
"Beckley, WV M.S.A.",440.3,6.5,40.8,84.8,308.2,3027.0,826.9,2059.0,141.1,WV,Beckley
"Bellingham, WA M.S.A.",195.4,2.8,42.7,29.9,120.0,2960.8,539.2,2293.5,128.1,WA,Bellingham
"Bend-Redmond, OR M.S.A.",176.8,1.7,38.3,18.9,117.9,2364.1,299.3,1967.5,97.3,OR,Bend
"Billings, MT M.S.A.",361.0,5.9,48.5,44.4,262.2,3694.3,465.8,2695.9,532.7,MT,Billings
"Binghamton, NY M.S.A.",274.7,2.8,71.6,62.7,137.6,2534.1,410.7,2070.9,52.5,NY,Binghamton
"Birmingham-Hoover, AL M.S.A.",682.0,11.1,46.2,157.7,467.1,3344.9,817.6,2262.0,265.3,AL,Birmingham
"Bismarck, ND M.S.A.",227.1,3.1,37.1,13.1,173.8,1667.6,188.5,1320.1,159.1,ND,Bismarck
"Bloomington, IL M.S.A.",252.0,0.0,61.8,32.0,158.2,1668.6,322.2,1278.3,68.1,IL,Bloomington
"Bloomington, IN M.S.A.",277.7,1.8,44.8,47.2,183.9,2557.1,492.5,1907.3,157.3,IN,Bloomington
"Bloomsburg-Berwick, PA M.S.A",152.7,1.2,22.2,7.0,122.4,1325.8,240.2,1057.6,28.0,PA,Bloomsburg
"Boise City, ID M.S.A.",233.9,1.8,49.3,13.7,169.1,1725.3,315.3,1286.4,123.6,ID,Boise
"Boulder, CO M.S.A.3",,0.9,67.4,22.6,,2134.8,331.0,1689.0,114.7,CO,Boulder
"Bowling Green, KY M.S.A.",173.4,0.6,44.2,52.0,76.5,2405.6,477.2,1784.9,143.5,KY,Bowling Green
"Bremerton-Silverdale, WA M.S.A.",255.7,3.1,46.9,37.1,168.5,2746.5,567.0,1984.0,195.5,WA,Bremerton
"Bridgeport-Stamford-Norwalk, CT M.S.A.",201.5,2.5,21.8,76.9,100.3,1473.2,236.6,1090.9,145.7,CT,Bridgeport
"Brownsville-Harlingen, TX M.S.A.",299.8,1.6,44.3,61.5,192.4,3229.7,567.9,2589.0,72.8,TX,Brownsville
"Brunswick, GA M.S.A.",358.2,2.6,26.0,83.9,245.7,3337.5,827.2,2321.6,188.6,GA,Brunswick
"Buffalo-Cheektowaga-Niagara Falls, NY M.S.A.",401.8,4.4,33.1,132.8,231.5,2413.5,474.4,1805.7,133.4,NY,Buffalo
"Burlington, NC M.S.A.",395.3,5.1,19.8,64.4,306.1,2475.9,708.4,1666.1,101.4,NC,Burlington
"Burlington-South Burlington, VT M.S.A.",128.5,0.9,23.0,21.7,82.9,1955.4,375.4,1564.3,15.7,VT,Burlington
"California-Lexington Park, MD M.S.A.",266.1,0.9,18.0,45.8,201.4,2055.1,490.0,1503.1,62.0,MD,California
"Canton-Massillon, OH M.S.A.",323.7,3.2,43.6,91.1,185.9,2568.2,652.4,1799.4,116.3,OH,Canton
"Cape Coral-Fort Myers, FL M.S.A.",356.1,4.4,29.5,80.9,241.3,1801.2,407.0,1270.8,123.4,FL,Cape Coral
"Cape Girardeau, MO-IL M.S.A.",447.4,3.1,46.8,69.1,328.4,2939.6,602.0,2176.0,161.7,MO,Cape Girardeau
"Carson City, NV M.S.A.",314.7,1.8,3.7,36.6,272.6,1829.7,336.7,1341.2,151.9,NV,Carson City
"Casper, WY M.S.A.",234.3,1.2,39.9,26.6,166.7,2513.4,402.2,1984.4,126.8,WY,Casper
"Cedar Rapids, IA M.S.A.",189.5,3.0,18.8,43.7,123.9,2350.4,532.3,1681.7,136.4,IA,Cedar Rapids
"Chambersburg-Waynesboro, PA M.S.A.",159.5,2.0,37.8,43.0,76.8,1619.8,307.3,1233.1,79.4,PA,Chambersburg
"Charleston, WV M.S.A.",530.3,8.1,52.9,93.1,376.1,3597.1,783.4,2533.8,279.8,WV,Charleston
"Charleston-North Charleston, SC M.S.A.",399.0,8.5,39.0,77.1,274.4,2860.1,546.0,2081.4,232.6,SC,Charleston
"Charlottesville, VA M.S.A.",164.6,1.3,35.5,31.5,96.3,1514.5,252.2,1199.2,63.0,VA,Charlottesville
"Chattanooga, TN-GA M.S.A.",529.9,5.8,36.1,81.1,406.9,3418.3,662.9,2476.1,279.3,TN,Chattanooga
"Cheyenne, WY M.S.A.",177.4,7.2,17.5,9.3,143.4,2581.9,443.6,1997.0,141.3,WY,Cheyenne
"Chicago-Naperville-Elgin, IL-IN-WI M.S.A.",377.6,7.1,30.8,137.1,202.6,2013.9,328.9,1520.2,164.8,IL,Chicago
"Chicago-Naperville-Arlington Heights, IL M.D.",430.3,7.7,32.8,160.8,228.9,2077.3,339.2,1554.1,183.9,IL,Chicago
"Elgin, IL M.D.",189.4,1.6,28.5,37.2,122.0,1342.2,188.1,1112.0,42.1,IL,Elgin
"Gary, IN M.D.",268.9,11.9,19.3,91.7,146.0,2560.7,440.2,1916.3,204.2,IN,Gary
"Lake County-Kenosha County, IL-WI M.D.",158.9,2.2,24.0,46.9,85.9,1527.6,254.9,1212.2,60.5,IL,Kenosha
"Chico, CA M.S.A.",345.6,3.1,52.4,65.3,224.8,3350.4,843.5,2086.3,420.6,CA,Chico
"Cincinnati, OH-KY-IN M.S.A.",259.4,4.6,37.2,104.4,113.1,2781.0,576.7,2077.8,126.5,OH,Cincinnati
"Clarksville, TN-KY M.S.A.",404.7,6.0,34.7,48.8,315.2,2410.7,488.2,1815.0,107.5,TN,Clarksville
"Cleveland, TN M.S.A.",483.1,6.6,25.7,40.6,410.2,3323.9,615.7,2462.0,246.1,TN,Cleveland
"Coeur d'Alene, ID M.S.A.",259.6,1.3,45.4,22.0,190.9,2176.1,465.8,1592.9,117.4,ID,Coeur d'Alene
"College Station-Bryan, TX M.S.A.",315.5,4.5,59.9,46.2,204.9,2544.7,451.9,1982.6,110.1,TX,College Station
"Colorado Springs, CO M.S.A.",359.3,3.7,66.0,58.1,231.5,2849.9,432.9,2135.2,281.7,CO,Colorado Springs
"Columbia, MO M.S.A.",430.2,3.4,53.6,90.2,283.0,2684.6,582.6,1933.7,168.3,MO,Columbia
"Columbia, SC M.S.A.",650.6,6.9,49.7,99.3,494.7,3464.0,627.8,2466.4,369.8,SC,Columbia
"Columbus, GA-AL M.S.A.",468.7,6.9,37.3,195.3,229.2,4340.7,1019.8,2914.0,406.9,GA,Columbus
"Columbus, IN M.S.A.",108.6,1.2,33.3,24.7,49.4,3286.7,459.1,2582.0,245.6,IN,Columbus
"Columbus, OH M.S.A.2",298.0,4.7,56.9,134.7,101.7,2869.3,588.6,2082.9,197.8,OH,Columbus
"Corpus Christi, TX M.S.A.",605.4,5.1,74.6,95.5,430.1,3370.5,697.4,2521.4,151.7,TX,Corpus Christi
"Corvallis, OR M.S.A.",117.2,2.3,40.2,19.5,55.1,2643.6,358.5,2195.5,89.6,OR,Corvallis
"Crestview-Fort Walton Beach-Destin, FL M.S.A.",371.7,4.9,34.7,36.6,295.5,2374.2,469.3,1800.8,104.0,FL,Fort Walton Beach
"Cumberland, MD-WV M.S.A.",275.2,4.0,33.1,61.3,176.8,2732.0,591.6,2068.1,72.3,MD,Cumberland
"Dallas-Fort Worth-Arlington, TX M.S.A.2",337.6,4.0,41.3,112.4,179.8,2554.3,503.1,1792.5,258.7,TX,Dallas
"Dallas-Plano-Irving, TX M.D.",330.6,4.4,38.5,129.7,158.1,2434.0,495.6,1647.9,290.5,TX,Dallas
"Fort Worth-Arlington, TX M.D.2",351.2,3.4,46.8,78.6,222.4,2790.9,517.8,2077.0,196.2,TX,Fort Worth
"Dalton, GA M.S.A.",265.8,2.1,32.1,20.2,211.4,2767.4,618.8,1986.1,162.5,GA,Dalton
"Danville, IL M.S.A.",780.3,0.0,121.4,122.7,536.2,3664.8,1244.4,2290.2,130.3,IL,Danville
"Daphne-Fairhope-Foley, AL M.S.A.",195.3,1.5,21.5,36.7,135.6,2064.5,357.4,1627.3,79.8,AL,Daphne
"Davenport-Moline-Rock Island, IA-IL M.S.A.",386.1,2.6,58.7,65.2,259.6,2510.3,492.8,1883.7,133.8,IA,Davenport
"Dayton, OH M.S.A.",305.4,4.6,58.5,114.1,128.2,2919.1,710.0,2028.2,181.0,OH,Dayton
