,unitid,opeid,opeid6,instnm,city,stabbr,zip,cip11bachl,violentcrime,propertycrime,state,crimescore
600,451662,747000,7470,The Art Institute of Pittsburgh-Online Division,Pittsburgh,PA,15222-4332,2.0,266.3,1782.9,PA,721.28
595,211440,324200,3242,Carnegie Mellon University,Pittsburgh,PA,15213-3890,1.0,266.3,1782.9,PA,721.28
599,215442,335700,3357,Point Park University,Pittsburgh,PA,15222-1984,2.0,266.3,1782.9,PA,721.28
598,215293,337900,3379,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,PA,15260,1.0,266.3,1782.9,PA,721.28
596,212106,325800,3258,Duquesne University,Pittsburgh,PA,15282,2.0,266.3,1782.9,PA,721.28
597,213358,398700,3987,La Roche College,Pittsburgh,PA,15237-5898,2.0,266.3,1782.9,PA,721.28
727,233541,373700,3737,Shenandoah University,Winchester,VA,22601-5195,2.0,173.6,2020.9,VA,727.79
768,238661,384800,3848,Edgewood College,Madison,WI,53711-1997,1.0,211.9,1956.7,WI,735.3399999999999
769,240392,962100,9621,Herzing University-Madison,Madison,WI,53718,2.0,211.9,1956.7,WI,735.3399999999999
770,240444,389500,3895,University of Wisconsin-Madison,Madison,WI,53706-1380,2.0,211.9,1956.7,WI,735.3399999999999
772,458733,464206,4642,Globe University-Madison East,Madison,WI,53718,1.0,211.9,1956.7,WI,735.3399999999999
771,451981,10732900,7329,ITT Technical Institute-Madison,Madison,WI,53713,1.0,211.9,1956.7,WI,735.3399999999999
774,240329,391900,3919,University of Wisconsin-La Crosse,La Crosse,WI,54601-9959,1.0,116.5,2179.9,WI,735.52
773,240107,391100,3911,Viterbo University,La Crosse,WI,54601-8804,2.0,116.5,2179.9,WI,735.52
461,177940,247900,2479,Lincoln University,Jefferson City,MO,65101,2.0,258.7,1919.1,MO,756.8199999999999
511,197045,288300,2883,Utica College,Utica,NY,13502-4892,2.0,233.6,1983.3,NY,758.51
510,196112,1167800,11678,SUNY Institute of Technology at Utica-Rome,Utica,NY,13502,2.0,233.6,1983.3,NY,758.51
427,170976,232500,2325,University of Michigan-Ann Arbor,Ann Arbor,MI,48109,2.0,319.5,1791.9,MI,761.22
426,169363,224700,2247,Concordia University-Ann Arbor,Ann Arbor,MI,48105,1.0,319.5,1791.9,MI,761.22
483,182564,1036300,10363,Western Nevada College,Carson City,NV,89703-7399,1.0,314.7,1829.7,NV,769.1999999999999
380,157076,196900,1969,Kentucky Wesleyan College,Owensboro,KY,42301,2.0,136.1,2252.4,KY,770.99
381,157465,931300,9313,Daymar College-Owensboro,Owensboro,KY,42301,1.0,136.1,2252.4,KY,770.99
484,183026,258000,2580,Southern New Hampshire University,Manchester,NH,03106-1045,2.0,281.4,1923.7,NH,774.0899999999999
485,183071,258901,2589,University of New Hampshire at Manchester,Manchester,NH,03101-1113,1.0,281.4,1923.7,NH,774.0899999999999
486,183239,258700,2587,Saint Anselm College,Manchester,NH,03102-1310,1.0,281.4,1923.7,NH,774.0899999999999
362,153658,189200,1892,University of Iowa,Iowa City,IA,52242-1316,2.0,263.4,1981.6,IA,778.8599999999999
606,214591,332905,3329,Pennsylvania State University-Penn State Erie-Behrend College,Erie,PA,16563-4117,2.0,234.4,2052.0,PA,779.6800000000001
605,213987,329700,3297,Mercyhurst University,Erie,PA,16546,1.0,234.4,2052.0,PA,779.6800000000001
604,212601,326600,3266,Gannon University,Erie,PA,16541-0001,2.0,234.4,2052.0,PA,779.6800000000001
784,413848,732995,7329,ITT Technical Institute-Oxnard,Oxnard,CA,93036,1.0,255.7,2028.1,CA,787.42
781,261931,3092700,30927,Skyline College-Roanoke,Roanoke,VA,24012,1.0,213.9,2128.6,VA,788.31
519,199111,290700,2907,University of North Carolina at Asheville,Asheville,NC,28804-8510,1.0,202.0,2158.8,NC,789.04
704,228796,366100,3661,The University of Texas at El Paso,El Paso,TX,79968-0691,2.0,354.3,1825.1,TX,795.54
614,217420,340700,3407,Rhode Island College,Providence,RI,02908,1.0,333.7,1876.8,RI,796.6299999999999
611,217156,340100,3401,Brown University,Providence,RI,02912,1.0,333.7,1876.8,RI,796.6299999999999
612,217235,340400,3404,Johnson & Wales University-Providence,Providence,RI,02903-3703,1.0,333.7,1876.8,RI,796.6299999999999
613,217402,340600,3406,Providence College,Providence,RI,02918-0001,1.0,333.7,1876.8,RI,796.6299999999999
487,186371,262901,2629,Rutgers University-Camden,Camden,NJ,08102,1.0,272.0,2022.5,NJ,797.15
526,200280,300500,3005,University of North Dakota,Grand Forks,ND,58202-8193,2.0,243.8,2108.0,ND,803.06
61,460075,4133100,41331,California University of Management and Sciences,Anaheim,CA,92801,1.0,227.4,2148.9,CA,803.8499999999999
58,110060,3266300,32663,Bethesda University of California,Anaheim,CA,92801,2.0,227.4,2148.9,CA,803.8499999999999
60,437848,754802,7548,Westwood College-Anaheim,Anaheim,CA,92806,1.0,227.4,2148.9,CA,803.8499999999999
59,399869,3113600,31136,Southern California Institute of Technology,Anaheim,CA,92801-3758,1.0,227.4,2148.9,CA,803.8499999999999
438,173920,236000,2360,Minnesota State University-Mankato,Mankato,MN,56001,1.0,152.8,2324.8,MN,804.4000000000001
139,131450,144300,1443,Gallaudet University,Washington,DC,20002-3695,2.0,324.1,1929.2,DC,805.63
147,131803,145900,1459,Strayer University-District of Columbia,Washington,DC,20005,2.0,324.1,1929.2,DC,805.63
149,131876,146000,1460,Trinity Washington University,Washington,DC,20017-1094,1.0,324.1,1929.2,DC,805.63
151,384412,3218300,32183,University of the Potomac-Washington DC Campus,Washington,DC,20005,2.0,324.1,1929.2,DC,805.63
143,131496,144500,1445,Georgetown University,Washington,DC,20057-0001,1.0,324.1,1929.2,DC,805.63
153,459994,145900,1459,Strayer University-Global Region,Washington,DC,20005,2.0,324.1,1929.2,DC,805.63
145,131520,144800,1448,Howard University,Washington,DC,20059-0001,1.0,324.1,1929.2,DC,805.63
141,131469,144400,1444,George Washington University,Washington,DC,20052,2.0,324.1,1929.2,DC,805.63
135,131308,1195000,11950,Corcoran College of Art and Design,Washington,DC,20006-4804,1.0,324.1,1929.2,DC,805.63
137,131399,144100,1441,University of the District of Columbia,Washington,DC,20008,1.0,324.1,1929.2,DC,805.63
131,131159,143400,1434,American University,Washington,DC,20016-8001,1.0,324.1,1929.2,DC,805.63
133,131283,143700,1437,Catholic University of America,Washington,DC,20064,1.0,324.1,1929.2,DC,805.63
123,448761,2594301,25943,College America-Fort Collins,Fort Collins,CO,80525,1.0,199.1,2229.0,CO,808.0699999999999
122,126818,135000,1350,Colorado State University-Fort Collins,Fort Collins,CO,80523-0100,2.0,199.1,2229.0,CO,808.0699999999999
97,122436,1039500,10395,University of San Diego,San Diego,CA,92110-2492,1.0,331.8,1922.1,CA,808.89
95,121309,126200,1262,Point Loma Nazarene University,San Diego,CA,92106-2899,1.0,331.8,1922.1,CA,808.89
94,121275,2304300,23043,Platt College-San Diego,San Diego,CA,92115-3919,1.0,331.8,1922.1,CA,808.89
93,117113,2179947,21799,The Art Institute of California-Argosy University San Diego,San Diego,CA,92108-4423,1.0,331.8,1922.1,CA,808.89
92,112446,729600,7296,Coleman University,San Diego,CA,92123-1506,1.0,331.8,1922.1,CA,808.89
91,110945,2110800,21108,California College San Diego,San Diego,CA,92111-1009,1.0,331.8,1922.1,CA,808.89
98,372222,2098883,20988,University of Phoenix-San Diego Campus,San Diego,CA,92123-2658,2.0,331.8,1922.1,CA,808.89
96,122409,115100,1151,San Diego State University,San Diego,CA,92182,1.0,331.8,1922.1,CA,808.89
602,212115,332000,3320,East Stroudsburg University of Pennsylvania,East Stroudsburg,PA,18301-2999,1.0,191.1,2264.1,PA,812.9999999999999
39,104586,147902,1479,Embry-Riddle Aeronautical University-Prescott,Prescott,AZ,86301-3720,1.0,294.0,2036.0,AZ,816.5999999999999
509,196413,288200,2882,Syracuse University,Syracuse,NY,13244,2.0,284.2,2059.1,NY,816.6699999999998
508,192323,274800,2748,Le Moyne College,Syracuse,NY,13214-1301,1.0,284.2,2059.1,NY,816.6699999999998
353,153126,185200,1852,Clarke University,Dubuque,IA,52001-3198,1.0,186.5,2294.7,IA,818.9599999999999
354,153278,189100,1891,University of Dubuque,Dubuque,IA,52001,1.0,186.5,2294.7,IA,818.9599999999999
355,153302,2328900,23289,Emmaus Bible College,Dubuque,IA,52001-3096,1.0,186.5,2294.7,IA,818.9599999999999
356,153825,187300,1873,Loras College,Dubuque,IA,52004-0178,1.0,186.5,2294.7,IA,818.9599999999999
410,162681,458612,4586,Kaplan University-Hagerstown Campus,Hagerstown,MD,21742,2.0,260.7,2123.7,MD,819.5999999999999
506,195030,289400,2894,University of Rochester,Rochester,NY,14627-0011,1.0,280.7,2107.6,NY,828.77
504,194958,280500,2805,Roberts Wesleyan College,Rochester,NY,14624,2.0,280.7,2107.6,NY,828.77
502,189592,267803,2678,Bryant & Stratton College-Greece,Rochester,NY,14612,1.0,280.7,2107.6,NY,828.77
503,193584,277900,2779,Nazareth College,Rochester,NY,14618-3790,1.0,280.7,2107.6,NY,828.77
